소단원명	질문	정답
01. 점, 선, 면	도형의 기본 요소 3가지는 무엇인가?	점, 선, 면입니다.
01. 점, 선, 면	선이 움직인 자리는 무엇이 되는가?	면이 됩니다.
01. 점, 선, 면	교점이란 무엇인가?	선과 선 또는 선과 면이 만나서 생기는 점입니다.
01. 점, 선, 면	교선이란 무엇인가?	면과 면이 만나서 생기는 선입니다.
01. 점, 선, 면	직선은 몇 개의 점이 주어질 때 하나로 결정되는가?	서로 다른 두 점입니다.
01. 점, 선, 면	한 점을 지나는 직선은 몇 개인가?	무수히 많습니다.
01. 점, 선, 면	선분 AB의 정의는 무엇인가?	두 점 A, B를 잇는 직선의 일부분으로 양 끝점이 있는 것입니다.
01. 점, 선, 면	반직선 AB와 반직선 BA는 같은 것인가?	아니요, 시작점과 방향이 다르므로 서로 다릅니다.
01. 점, 선, 면	두 점 사이의 거리란 무엇을 의미하는가?	두 점을 잇는 선분 중 길이가 가장 짧은 선분의 길이입니다.
01. 점, 선, 면	선분 AB의 중점이란 무엇인가?	선분 AB 위의 점으로 양 끝점에서 같은 거리에 있는 점입니다.
01. 점, 선, 면	반직선이 같으려면 어떤 조건이 필요한가?	시작점과 방향이 모두 같아야 합니다.
01. 점, 선, 면	면과 면이 만나서 생기는 교선은 항상 직선인가?	아니요, 곡면이 만날 경우 곡선이 될 수도 있습니다.
01. 점, 선, 면	점, 선, 면 중 0차원 도형은?	점입니다.
01. 점, 선, 면	점 A에서 점 B까지 가는 가장 짧은 경로는?	선분 AB입니다.
01. 점, 선, 면	중점 M에 대하여 선분 AM의 길이는 선분 AB의 몇 배인가?	2분의 1배입니다.
01. 점, 선, 면	선분 AB를 3등분 하는 점은 몇 개인가?	2개입니다.
01. 점, 선, 면	직선 AB와 직선 BA는 같은가?	네, 같은 직선을 나타냅니다.
01. 점, 선, 면	입체도형에서 교점의 개수는 무엇과 같은가?	꼭짓점의 개수와 같습니다.
01. 점, 선, 면	입체도형에서 교선의 개수는 무엇과 같은가?	모서리의 개수와 같습니다.
01. 점, 선, 면	도형을 크게 두 종류로 나누면?	평면도형과 입체도형입니다.
02. 각	각 AOB에서 꼭짓점은 어디인가?	점 O입니다.
02. 각	평각이란 무엇인가?	각의 두 변이 반대 방향으로 일직선을 이루어 크기가 180도인 각입니다.
02. 각	직각의 크기는 몇 도인가?	90도입니다.
02. 각	예각의 범위는 어떠한가?	0도보다 크고 90도보다 작은 각입니다.
02. 각	둔각의 범위는 어떠한가?	90도보다 크고 180도보다 작은 각입니다.
02. 각	맞꼭지각이란 무엇인가?	두 직선이 만날 때 서로 마주 보는 각입니다.
02. 각	맞꼭지각의 성질은 무엇인가?	그 크기가 항상 서로 같습니다.
02. 각	두 직선이 직교한다는 것은 무엇을 의미하는가?	두 직선의 교각이 직각일 때를 말합니다.
02. 각	수선이란 무엇인가?	직교하는 두 직선에서 한 직선을 다른 직선에 대하여 부르는 말입니다.
02. 각	수직이등분선이란 무엇인가?	선분의 중점을 지나고 그 선분에 수직인 직선입니다.
02. 각	수선의 발이란 무엇인가?	직선 밖의 한 점 P에서 직선에 그은 수선과 직선의 교점입니다.
02. 각	점과 직선 사이의 거리란?	점에서 직선에 내린 수선의 발까지의 선분의 길이입니다.
02. 각	두 직선이 만날 때 생기는 네 개의 각을 무엇이라 하는가?	교각이라고 합니다.
02. 각	시계의 시침이 1시간 동안 움직이는 각도는?	30도입니다.
02. 각	시계의 분침이 1분 동안 움직이는 각도는?	6도입니다.
02. 각	각의 이등분선이란 무엇인가?	각을 크기가 같은 두 부분으로 나누는 반직선입니다.
02. 각	직교 기호는 어떻게 쓰는가?	세로선과 가로선이 직각으로 만나는 모양을 씁니다.
02. 각	평면 위에 n개의 직선이 한 점에서 만날 때 생기는 맞꼭지각은 몇 쌍인가?	n 곱하기 (n-1) 쌍입니다.
02. 각	선분의 수직이등분선 위의 한 점에서 양 끝점까지의 거리는?	서로 같습니다.
02. 각	직각보다 큰 각은 항상 둔각인가?	아니요, 평각이나 그보다 큰 각일 수도 있습니다.
03. 위치 관계	평면에서 두 직선이 만나지 않는 경우를 무엇이라 하는가?	평행이라고 합니다.
03. 위치 관계	평면에서 두 직선의 위치 관계 3가지는?	한 점에서 만난다, 평행하다, 일치한다입니다.
03. 위치 관계	공간에서만 존재하는 위치 관계로 만나지도 평행하지도 않은 것은?	꼬인 위치입니다.
03. 위치 관계	꼬인 위치에 있는 두 직선은 한 평면 위에 있는가?	아니요, 동일 평면 위에 있지 않습니다.
03. 위치 관계	평행선의 기호는 어떻게 쓰는가?	빗금 두 개(//)를 사용하여 나타냅니다.
03. 위치 관계	직선과 평면의 위치 관계 3가지는?	포함된다, 한 점에서 만난다, 평행하다입니다.
03. 위치 관계	두 평면의 위치 관계 3가지는?	일치한다, 한 직선에서 만난다, 평행하다입니다.
03. 위치 관계	공간에서 한 직선에 평행한 두 직선은 서로 어떠한가?	서로 평행합니다.
03. 위치 관계	공간에서 한 직선에 수직인 두 직선은 항상 평행한가?	아니요, 평행하거나 만나거나 꼬인 위치일 수 있습니다.
03. 위치 관계	직면체에서 한 모서리와 꼬인 위치에 있는 모서리는 몇 개인가?	4개입니다.
03. 위치 관계	평면이 하나로 결정되는 조건 중 점에 관한 것은?	한 직선 위에 있지 않은 서로 다른 세 점입니다.
03. 위치 관계	직선 하나와 그 위에 있지 않은 한 점은 평면을 결정하는가?	네, 그렇습니다.
03. 위치 관계	만나는 두 직선은 평면을 결정하는가?	네, 오직 하나의 평면을 결정합니다.
03. 위치 관계	평행한 두 직선은 평면을 결정하는가?	네, 그렇습니다.
03. 위치 관계	공간에서 한 평면에 수직인 두 직선은 서로 어떠한가?	서로 평행합니다.
03. 위치 관계	공간에서 한 평면에 평행한 두 평면은 서로 어떠한가?	서로 평행합니다.
03. 위치 관계	직선 l이 평면 P와 수직이라는 정의는?	l이 평면 P와 만나는 점을 지나는 P 위의 모든 직선과 수직일 때입니다.
03. 위치 관계	두 평면이 만나서 생기는 교선은 어떤 모양인가?	직선입니다.
03. 위치 관계	꼬인 위치는 평면도형에서 나타날 수 있는가?	아니요, 입체 공간에서만 나타납니다.
03. 위치 관계	두 평면이 평행하면 교선이 생기는가?	아니요, 만나지 않으므로 생기지 않습니다.
04. 평행선의 성질	동위각이란 무엇인가?	두 직선이 다른 한 직선과 만날 때 같은 위치에 있는 각입니다.
04. 평행선의 성질	엇각이란 무엇인가?	두 직선이 다른 한 직선과 만날 때 엇갈린 위치에 있는 각입니다.
04. 평행선의 성질	두 직선이 평행하면 동위각의 크기는 어떠한가?	서로 같습니다.
04. 평행선의 성질	두 직선이 평행하면 엇각의 크기는 어떠한가?	서로 같습니다.
04. 평행선의 성질	동위각의 크기가 같으면 두 직선은 어떤 관계인가?	평행합니다.
04. 평행선의 성질	엇각의 크기가 같으면 두 직선은 어떤 관계인가?	평행합니다.
04. 평행선의 성질	평행선 사이의 꺾인 선이 있는 문제는 어떻게 푸는가?	꺾인 점을 지나고 두 직선에 평행한 보조선을 긋습니다.
04. 평행선의 성질	삼각형의 세 내각의 합이 180도임을 증명할 때 쓰는 성질은?	평행선의 엇각 성질입니다.
04. 평행선의 성질	평행하지 않은 두 직선에서도 동위각은 존재하는가?	네, 존재하지만 크기는 다를 수 있습니다.
04. 평행선의 성질	평행선에서 같은 쪽에 있는 두 내각의 합은 몇 도인가?	180도입니다.
04. 평행선의 성질	두 직선이 평행할 때 동위각의 쌍은 몇 개인가?	4쌍입니다.
04. 평행선의 성질	두 직선이 평행할 때 엇각의 쌍은 몇 개인가?	2쌍입니다.
04. 평행선의 성질	삼각형의 한 외각의 크기는 이웃하지 않는 두 내각의 합과 같음을 무엇으로 증명하는가?	동위각과 엇각의 성질입니다.
04. 평행선의 성질	엇각은 항상 직선의 안쪽 각으로만 생각하는가?	네, 보통 내부의 엇갈린 각을 의미합니다.
04. 평행선의 성질	직선 l과 m이 평행하고 m과 n이 평행하면 l과 n은?	평행합니다.
04. 평행선의 성질	종이를 접었을 때 생기는 엇각은 어디에 있는가?	접기 전의 평행한 두 변 사이에 생깁니다.
04. 평행선의 성질	평행선 작도는 어떤 원리를 이용하는가?	크기가 같은 각의 작도(동위각 이용)입니다.
04. 평행선의 성질	동위각이나 엇각 중 하나만 같아도 평행이 보장되는가?	네, 그렇습니다.
04. 평행선의 성질	사다리꼴에서 평행한 두 변 사이의 교각 관계는?	이웃한 두 각의 합이 180도입니다.
04. 평행선의 성질	평행선의 성질은 유클리드 기하학의 몇 번째 공준인가?	제5공준입니다.
05. 작도와 합동	작도란 무엇만을 사용하는 것인가?	눈금 없는 자와 컴퍼스입니다.
05. 작도와 합동	작도에서 자의 용도는 무엇인가?	두 점을 지나는 직선을 그리거나 선분을 연장할 때 사용합니다.
05. 작도와 합동	작도에서 컴퍼스의 용도는 무엇인가?	원을 그리거나 선분의 길이를 재어서 옮길 때 사용합니다.
05. 작도와 합동	선분의 길이를 옮길 때 사용하는 도구는?	컴퍼스입니다.
05. 작도와 합동	삼각형을 기호로 어떻게 나타내는가?	삼각형 ABC 꼴로 나타냅니다.
05. 작도와 합동	삼각형에서 대변이란 무엇인가?	한 각과 마주 보고 있는 변입니다.
05. 작도와 합동	삼각형에서 대각이란 무엇인가?	한 변과 마주 보고 있는 각입니다.
05. 작도와 합동	삼각형의 세 변의 길이 사이의 관계는?	가장 긴 변의 길이는 나머지 두 변의 길이의 합보다 작아야 합니다.
05. 작도와 합동	삼각형이 하나로 결정되는 조건 3가지는?	SSS, SAS, ASA 조건입니다.
05. 작도와 합동	SAS 조건에서 A는 무엇을 의미하는가?	두 변 사이의 '끼인각'입니다.
05. 작도와 합동	합동인 두 도형의 정의는?	모양과 크기가 같아서 포개었을 때 완전히 겹쳐지는 두 도형입니다.
05. 작도와 합동	합동 기호는 어떻게 쓰는가?	세 줄(= 위에 한 줄 더)로 나타냅니다.
05. 작도와 합동	합동인 두 도형에서 대응변의 길이는 어떠한가?	서로 같습니다.
05. 작도와 합동	합동인 두 도형에서 대응각의 크기는 어떠한가?	서로 같습니다.
05. 작도와 합동	SSS 합동이란 무엇인가?	세 대응변의 길이가 각각 같을 때입니다.
05. 작도와 합동	ASA 합동이란 무엇인가?	한 대응변의 길이가 같고 그 양 끝각의 크기가 각각 같을 때입니다.
05. 작도와 합동	두 삼각형의 세 각의 크기가 같으면 합동인가?	아니요, 모양은 같지만 크기가 다를 수 있습니다.
05. 작도와 합동	직각삼각형에서 빗변과 한 예각이 같으면 합동인가?	네, ASA 조건에 의해 합동이 됩니다 (RHA).
05. 작도와 합동	정삼각형 두 개는 항상 합동인가?	아니요, 한 변의 길이가 같아야 합동입니다.
05. 작도와 합동	합동인 두 삼각형의 넓이는 어떠한가?	항상 같습니다.
06. 다각형	다각형의 정의는 무엇인가?	3개 이상의 선분으로 둘러싸인 평면도형입니다.
06. 다각형	정다각형의 조건 2가지는?	모든 변의 길이가 같고 모든 내각의 크기가 같아야 합니다.
06. 다각형	다각형의 대각선이란 무엇인가?	이웃하지 않는 두 꼭짓점을 이은 선분입니다.
06. 다각형	n각형의 한 꼭짓점에서 그을 수 있는 대각선의 개수는?	n-3 개입니다.
06. 다각형	n각형의 대각선의 총 개수 공식은?	2분의 n(n-3) 개입니다.
06. 다각형	삼각형의 대각선의 개수는?	0개입니다.
06. 다각형	삼각형의 세 내각의 크기의 합은?	180도입니다.
06. 다각형	n각형의 내각의 크기의 합 공식은?	180 곱하기 (n-2) 도입니다.
06. 다각형	다각형의 외각의 크기의 합은 항상 몇 도인가?	360도입니다.
06. 다각형	정n각형의 한 내각의 크기 구하는 공식은?	n분의 180(n-2) 도입니다.
06. 다각형	정n각형의 한 외각의 크기 구하는 공식은?	n분의 360도입니다.
06. 다각형	삼각형의 한 외각의 크기와 이웃하지 않는 두 내각의 관계는?	외각의 크기는 두 내각의 크기의 합과 같습니다.
06. 다각형	대각선의 개수가 5개인 다각형은?	오각형입니다.
06. 다각형	내각의 합이 720도인 다각형은?	육각형입니다.
06. 다각형	한 외각의 크기가 60도인 정다각형은?	정육각형입니다.
06. 다각형	모든 변의 길이만 같으면 정다각형인가?	아니요, 마름모처럼 각이 다를 수 있어 안 됩니다.
06. 다각형	다각형에서 내각과 외각의 합은 항상 얼마인가?	180도입니다.
